City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Port Lincoln,-34.7333,135.8667,57.49,67,100,16.62,AU,1658883297
1,Bajil,15.0584,43.2851,87.46,49,68,4.56,YE,1658883299
2,Dikson,73.5069,80.5464,43.52,97,100,22.48,RU,1658883301
3,Barcelos,41.5388,-8.6151,65.84,87,0,2.53,PT,1658883304
4,Butaritari,3.0707,172.7902,81.9,76,6,19.69,KI,1658883171
5,Kasongo-Lunda,-6.4667,16.8167,68.92,33,25,1.41,CD,1658883308
6,Pisco,-13.7,-76.2167,60.85,88,20,9.22,PE,1658883289
7,Puerto Ayora,-0.7393,-90.3518,69.55,92,100,3.0,EC,1658883162
8,Saint-Philippe,-21.3585,55.7679,65.79,85,56,11.21,RE,1658883315
9,Hong Kong,22.2855,114.1577,89.26,72,14,5.01,HK,1658883038
10,Port Alfred,-33.5906,26.891,63.28,56,29,16.15,ZA,1658883233
11,Vestmanna,62.1564,-7.1664,49.12,100,100,3.44,FO,1658883322
12,Ponta do Sol,32.6667,-17.1,74.12,60,0,5.86,PT,1658883324
13,Pevek,69.7008,170.3133,34.39,87,100,11.92,RU,1658883326
14,Ambanja,-13.6833,48.45,69.13,87,71,2.82,MG,1658883260
15,Albany,42.6001,-73.9662,67.89,72,0,4.36,US,1658883296
16,Hermanus,-34.4187,19.2345,55.35,85,74,0.76,ZA,1658883253
17,Auki,-8.7676,160.7034,86.61,60,53,2.3,SB,1658883335
18,São João da Barra,-21.6403,-41.0511,70.16,85,0,9.69,BR,1658883337
19,College,64.8569,-147.8028,57.09,72,75,13.8,US,1658883308
20,Kribi,2.95,9.9167,75.65,90,91,5.86,CM,1658883342
21,Rikitea,-23.1203,-134.9692,75.04,73,55,8.88,PF,1658883344
22,Diamantino,-14.4086,-56.4461,74.5,37,20,4.52,BR,1658883076
23,Lüderitz,-26.6481,15.1594,53.94,78,0,2.66,NA,1658883348
24,Busselton,-33.65,115.3333,53.1,77,100,8.03,AU,1658883351
25,Barabai,-2.5833,115.3833,79.21,85,100,0.49,ID,1658883353
26,Kamyshlov,56.8428,62.7111,56.82,83,100,8.84,RU,1658883355
27,Vostok,46.4856,135.8833,76.26,61,18,5.28,RU,1658883358
28,Marabu,4.4148,114.0089,78.94,94,40,8.05,MY,1658883360
29,Port Hedland,-20.3167,118.5667,75.25,31,0,11.5,AU,1658883316
30,Mataura,-46.1927,168.8643,47.48,97,100,5.66,NZ,1658883365
31,Soyo,-6.1349,12.3689,69.39,91,66,5.03,AO,1658883367
32,Mount Gambier,-37.8333,140.7667,54.28,83,100,10.71,AU,1658883369
33,Lagoa,39.05,-27.9833,72.84,89,8,11.43,PT,1658883372
34,Amarillo,35.222,-101.8313,96.22,27,9,5.01,US,1658883302
35,Bonavista,48.6499,-53.1147,62.73,94,14,16.69,CA,1658883376
36,Longyearbyen,78.2186,15.6401,48.04,76,75,4.61,SJ,1658883378
37,Cherskiy,68.75,161.3,52.84,45,14,8.81,RU,1658883381
38,Punta Arenas,-53.15,-70.9167,30.31,93,0,10.36,CL,1658883142
39,Kavieng,-2.5744,150.7967,85.28,63,40,12.88,PG,1658883385
